,Unnamed: 0,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location,MPG
4559,4559,Mazda,3,2007.0,212814.0,"C45, Abuja",Automatic,Registered,BLACK,1707500,Nigerian used,0
4560,4560,Honda,Accord,2006.0,124011.0,"C45, Lagos",Automatic,Registered,SILVER,976250,Nigerian used,48
4561,4561,Mazda,Cx-7,2007.0,218967.0,"C45, Lagos",Automatic,Imported,SILVER,2270000,Foreign used,19
4562,4562,Toyota,Camry,2012.0,107988.0,"C45, Lagos",Automatic,Registered,RED,3957500,Nigerian used,26
4563,4563,Mercedes-Benz,C230,2004.0,1.0,"C45, ",Automatic,Imported,Grey,1472500,Foreign used,23
4564,4564,Pontiac,Vibe,2009.0,189092.0,"C45, Abuja",Automatic,Registered,RED,2213750,Nigerian used,22
4565,4565,Toyota,Sienna,2012.0,70987.0,"C45, Port",Automatic,Imported,0,7850000,Foreign used,20
4566,4566,Ford,Ranger,2015.0,94522.0,"C45, Lagos",Manual,Registered,0,5195000,Nigerian used,22
4567,4567,Kia,Sorento,2012.0,45016.0,"C45, Lagos",Automatic,Registered,GREY,2270000,Nigerian used,37
4568,4568,Toyota,Corolla,2010.0,110126.0,"C45, ",Automatic,Imported,SILVER,3090000,Foreign used,34
4569,4569,Kia,Sorento,2005.0,191198.0,"C45, ",Automatic,Registered,GOLD,962000,Nigerian used,37
4570,4570,Ford,Explorer,2011.0,121924.0,"C45, Kaduna",Automatic,Registered,BLACK,3370000,Nigerian used,24
4571,4571,Toyota,Camry,2012.0,100955.0,"C45, Lagos",Automatic,Imported,WHITE,4745000,Foreign used,26
4572,4572,Toyota,HiAce,2008.0,263551.0,"C45, Lagos",Manual,Registered,0,5050000,Nigerian used,0
4573,4573,Jeep,Wrangler,2010.0,82158.0,"C45, Lagos",Automatic,Registered,0,5890000,Nigerian used,17
4574,4574,licoln,continental,2007.0,247300.0,"C45, Lagos",Automatic,Imported,White,3170000,Foreign used,0
4575,4575,Toyota,Highlander,2010.0,156266.0,"C45, Lagos",Automatic,Registered,GREY,4266000,Nigerian used,36
4576,4576,Mercedes-Benz,S550,2007.0,99499.0,"C45, Lagos",Automatic,Imported,gold,4520000,Foreign used,21
4577,4577,Honda,Accord,2012.0,134811.0,"C45, Lagos",Automatic,Registered,BLACK,1538750,Nigerian used,48
4578,4578,Lexus,Rx,2006.0,159386.0,"C45, Lagos",Automatic,Registered,GREY,2045000,Nigerian used,23
4579,4579,Land,Range,2006.0,150104.0,"C45, Lagos",Automatic,Imported,0,3930000,Foreign used,18
4580,4580,Lexus,Rx,2008.0,75437.0,"C45, Kaduna",Automatic,Registered,GREEN,3146000,Nigerian used,23
4581,4581,Honda,Accord,2008.0,194328.0,"C45, Lagos",Automatic,Registered,0,1690000,Nigerian used,48
4582,4582,Honda,Pilot,2003.0,289585.0,"C45, Lagos",Automatic,Imported,Silver,1707500,Foreign used,23
4583,4583,Honda,Cr-V,2008.0,183803.0,"C45, Abuja",Automatic,Imported,SILVER,4266000,Foreign used,30
4584,4584,Lexus,Es,2013.0,57143.0,"C45, Port",Automatic,Registered,0,6800000,Nigerian used,26
4585,4585,Toyota,Sienna,2008.0,98725.0,"C45, Lagos",Automatic,Registered,0,2586000,Nigerian used,20
4586,4586,Toyota,Sequoia,2002.0,166403.0,"C45, Ibadan",Automatic,Registered,0,1932500,Nigerian used,14
4587,4587,Honda,Accord,2010.0,110518.0,"C45, Lagos",Automatic,Registered,BLACK,2250000,Nigerian used,48
4588,4588,Honda,Accord,1999.0,0.0,"C45, Abuja",Automatic,Registered,GREY,458000,Nigerian used,48
4589,4589,Toyota,Corolla,2009.0,104999.0,"C45, Lagos",Automatic,Registered,0,2250000,Nigerian used,34
4590,4590,Mercedes-Benz,C300,2013.0,58254.0,"C45, Kaduna",Automatic,Imported,GREY,5645000,Foreign used,27
4591,4591,Kia,Mohave,2014.0,51241.0,"C45, Port",Automatic,Registered,Grey,3930000,Nigerian used,0
