,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location
4854,Lexus,Is,2007,160920,"C45, Port",Automatic,Registered,SILVER,3395000,Nigerian used
4855,Honda,Accord,1999,280779,"C45, Port",Automatic,Registered,BLUE,526250,Nigerian used
4856,Nissan,Sunny,2010,180591,"C45, Port",Manual,Registered,0,751250,Nigerian used
4857,Lexus,Rx,2001,105277,"C45, Lagos",Automatic,Registered,WHITE,1145000,Nigerian used
4858,Lexus,Es,2005,164794,"C45, Port",Automatic,Imported,0,2720000,Foreign used
4859,Lexus,Es,2008,133601,"C45, Abuja",Automatic,Registered,BLACK,4070000,Nigerian used
4860,Volkswagen,Passat,2009,119983,"C45, Port",Automatic,Registered,GREY,2269750,Nigerian used
4861,Kia,Cerato,2014,223932,"C45, Abuja",Automatic,Registered,GREY,2195000,Nigerian used
4862,Lexus,Lx,2000,240895,"C45, Lagos",Automatic,Registered,Green,1145000,Nigerian used
4863,Nissan,Sentra,2018,6324,"C45, Lagos",Automatic,Imported,BLACK,8457500,Foreign used
4864,Ford,Explorer,2011,189005,"C45, ",Automatic,Registered,Brown,5645000,Nigerian used
4865,Nissan,Versa,2007,107574,"C45, Lagos",Automatic,Imported,Gold,1275000,Foreign used
4866,Nissan,Pathfinder,2008,234122,"C45, Port",Automatic,Registered,GREY,1476250,Nigerian used
4867,Mercedes-Benz,C300,2008,173200,"C45, Lagos",Automatic,Registered,Black,2885000,Nigerian used
4868,BMW,3,2006,175337,"C45, Abuja",Automatic,Registered,grey,2310000,Nigerian used
4869,Mercedes-Benz,E320,2005,149840,"C45, Lagos",Automatic,Imported,WINE,2310000,Foreign used
4870,Toyota,Rav4,2014,82413,"C45, Lagos",Automatic,Registered,Black,5760000,Nigerian used
4871,Honda,Accord,2010,97604,"C45, Lagos",Automatic,Imported,Grey,2425000,Foreign used
4872,Mercedes-Benz,E320,2002,116446,"C45, Lagos",Automatic,Registered,SILVER,1505000,Nigerian used
4873,Audi,Q7,2009,167999,"C45, Abuja",Automatic,Imported,Grey,5185000,Foreign used
4874,Toyota,Solara,2008,124326,"C45, Lagos",Automatic,Registered,RED,1850000,Nigerian used
4875,SILVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585000,
4876,Toyota,Hilux,2007,167994,"C45, Abuja",Manual,Registered,WHITE,2885000,Nigerian used
